time,open,high,low,close,tick_volume,spread,real_volume
2026-04-30 16:00:00,4639.58,4642.99,4639.58,4640.55,639,130,0
2026-04-30 16:01:00,4640.54,4641.05,4638.39,4640.28,575,130,0
2026-04-30 16:02:00,4640.31,4643.17,4639.54,4643.1,551,130,0
2026-04-30 16:03:00,4643.13,4644.1,4641.94,4642.23,622,130,0
2026-04-30 16:04:00,4642.21,4643.32,4639.98,4640.24,625,130,0
2026-04-30 16:05:00,4640.2,4640.71,4638.31,4639.28,609,130,0
2026-04-30 16:06:00,4639.33,4640.07,4637.99,4638.07,550,130,0
2026-04-30 16:07:00,4638.07,4638.41,4636.08,4636.29,520,130,0
2026-04-30 16:08:00,4636.3,4636.46,4634.64,4635.22,493,130,0
2026-04-30 16:09:00,4634.89,4640.16,4634.81,4639.93,543,130,0
2026-04-30 16:10:00,4640.01,4642.42,4637.0,4637.85,662,130,0
2026-04-30 16:11:00,4637.85,4639.44,4637.69,4639.41,528,130,0
2026-04-30 16:12:00,4639.41,4640.95,4638.59,4639.1,478,130,0
2026-04-30 16:13:00,4639.09,4639.99,4638.38,4639.31,446,130,0
2026-04-30 16:14:00,4639.35,4641.6,4639.1,4641.08,433,130,0
2026-04-30 16:15:00,4641.09,4645.95,4641.07,4642.16,561,130,0
2026-04-30 16:16:00,4642.16,4642.92,4636.07,4636.1,560,130,0
2026-04-30 16:17:00,4636.11,4637.15,4635.5,4636.75,477,130,0
2026-04-30 16:18:00,4636.76,4637.7,4635.84,4636.94,474,130,0
2026-04-30 16:19:00,4636.94,4638.87,4636.89,4638.49,444,130,0
2026-04-30 16:20:00,4638.48,4639.11,4637.36,4638.16,391,130,0
2026-04-30 16:21:00,4638.18,4638.19,4634.3,4636.89,540,130,0
2026-04-30 16:22:00,4636.87,4637.77,4635.31,4637.15,495,130,0
2026-04-30 16:23:00,4637.17,4637.17,4634.39,4635.64,471,130,0
2026-04-30 16:24:00,4635.65,4637.56,4634.8,4635.43,605,130,0
2026-04-30 16:25:00,4635.43,4636.9,4635.16,4636.69,550,130,0
2026-04-30 16:26:00,4636.68,4636.84,4634.34,4634.6,517,130,0
2026-04-30 16:27:00,4634.59,4638.68,4634.45,4636.55,573,130,0
2026-04-30 16:28:00,4636.56,4637.43,4635.58,4636.09,556,130,0
2026-04-30 16:29:00,4636.07,4636.86,4632.97,4633.63,535,130,0
2026-04-30 16:30:00,4633.58,4633.66,4629.95,4633.02,733,130,0
2026-04-30 16:31:00,4632.98,4633.56,4629.28,4630.32,753,130,0
2026-04-30 16:32:00,4630.35,4633.57,4630.24,4631.99,711,130,0
2026-04-30 16:33:00,4632.03,4634.65,4630.49,4630.58,649,130,0
2026-04-30 16:34:00,4630.59,4632.42,4628.55,4628.77,615,130,0
2026-04-30 16:35:00,4628.84,4629.78,4626.32,4626.68,684,130,0
2026-04-30 16:36:00,4626.58,4628.37,4624.13,4627.23,689,130,0
2026-04-30 16:37:00,4627.22,4627.51,4624.11,4624.65,677,130,0
2026-04-30 16:38:00,4624.55,4625.67,4623.64,4625.35,639,130,0
2026-04-30 16:39:00,4625.34,4626.95,4624.09,4624.18,624,130,0
2026-04-30 16:40:00,4624.17,4626.74,4623.27,4625.01,596,130,0
2026-04-30 16:41:00,4624.93,4625.31,4621.77,4622.66,539,130,0
2026-04-30 16:42:00,4622.69,4622.95,4620.87,4622.21,597,130,0
2026-04-30 16:43:00,4622.19,4624.83,4620.28,4623.33,569,130,0
2026-04-30 16:44:00,4623.32,4625.84,4622.29,4625.5,570,130,0
2026-04-30 16:45:00,4625.52,4625.53,4621.86,4623.11,616,130,0
2026-04-30 16:46:00,4623.05,4623.31,4616.43,4616.77,651,130,0
2026-04-30 16:47:00,4616.83,4618.72,4613.61,4618.31,719,130,0
2026-04-30 16:48:00,4618.34,4619.19,4615.69,4616.79,697,130,0
2026-04-30 16:49:00,4616.72,4619.53,4614.26,4618.38,660,130,0
2026-04-30 16:50:00,4618.48,4620.01,4615.14,4615.81,684,130,0
2026-04-30 16:51:00,4615.73,4617.29,4613.29,4613.4,689,130,0
